Id,mean_exam_points
10000,55.911149582399794
10001,64.77255889531105
10002,48.26854527787138
10003,92.86403927677331
10004,90.02325406373991
10005,62.880392199292395
10006,41.04876841006447
10007,55.65814726870459
10008,59.57756359263318
10009,79.4309300111316
10010,51.83209407742285
10011,63.404164322437026
10012,52.84474245758496
10013,83.2898520202963
10014,65.11512326207864
10015,63.51102757749124
10016,88.62389342416498
10017,57.08972531130307
10018,52.292924172858974
10019,55.08507519333565
10020,78.46228275838254
10021,60.95680420978074
10022,64.92251989031482
10023,64.58089505895826
10024,54.61204347661924
10025,81.92376411770303
10026,58.233190207994284
10027,56.31633597473461
10028,61.09090347631429
10029,53.12438451572247
10030,70.0639760622884
10031,61.34144201669929
10032,48.21271936679636
10033,53.761458306971946
10034,51.1369233741255
10035,72.0806117914961
10036,52.486727807340785
10037,77.70838378901341
10038,58.233190207994284
10039,91.02094379363325
10040,93.05990137702841
10041,59.33446280364618
10042,60.01372587987866
10043,65.7331973301087
10044,59.229867253394964
10045,49.96734249707998
10046,47.877616784875485
10047,44.273433625120106
10048,59.2710923195428
10049,82.14266800978251
10050,46.15312243532012
10051,91.3920259463287
10052,55.739383748658256
10053,52.934324776389005
10054,51.30356928049838
10055,62.20635997016345
10056,70.11440249586322
10057,53.75502438578344
10058,61.98134327776412
10059,72.45017212446564
10060,68.94432738599673
10061,59.46254772002271
10062,64.34732702843468
10063,55.2569775596471
10064,59.57756359263318
10065,55.078039175530684
10066,52.49144850687453
10067,81.9970413358465
10068,58.66906826794594
10069,60.79645566772707
10070,63.60215735635738
10071,56.93345574295667
10072,53.98189190759552
10073,55.16310397753466
10074,72.4817944904397
10075,63.09972961795605
10076,70.29386331533155
10077,65.6506576835675
10078,59.150876861579036
10079,79.35438413316734
10080,58.52055445884198
10081,60.339060057167664
10082,83.83790665717872
10083,69.75048890358349
10084,53.512552342207556
10085,58.05039373126843
10086,83.58738766303895
10087,80.51995597514347
10088,41.15917027787138
10089,87.7261337329707
10090,55.658454009792806
10091,54.465690301639796
10092,59.663600251207036
10093,70.17887370095383
10094,71.82820141906329
10095,55.445057830686224
10096,86.5792190333384
10097,71.00237208100563
10098,85.93442515773522
10099,53.98653875496626
10100,88.15463712286078
10101,54.38287154270434
10102,56.25411919117532
10103,66.92298227288667
10104,57.29751571869887
10105,59.54659968346239
10106,53.95290302674246
10107,56.16412777812846
10108,56.7315256901527
10109,44.31133959244185
10110,61.689981696101086
10111,53.68641304404431
10112,70.99949132387692
10113,60.33080809267729
10114,58.02317912790026
10115,77.02327017397815
10116,49.069803901473925
10117,83.70839960692861
10118,48.26854527787138
10119,57.91037893340556
10120,64.834227475671
10121,57.81630329414658
10122,83.83790665717872
10123,53.9822608297514
10124,54.868826191164764
10125,74.34909312060041
10126,58.710808989575185
10127,64.48632975043365
10128,57.85055071013163
10129,55.06002618897853
10130,69.60541730687889
10131,64.16684735134828
10132,45.40035772269629
10133,75.54270521187851
10134,79.63904230840306
10135,86.93467683104997
10136,68.78817364568148
10137,53.94949818273635
10138,84.77078000576859
10139,65.03995934387949
10140,57.37138392417017
10141,62.52376584874517
10142,77.69746925714385
10143,57.848569058912
10144,42.05173835540025
10145,50.10923779301
10146,60.479438103183284
10147,50.4029130611909
10148,56.48001695653633
10149,61.5808355370428
10150,85.80424496607016
10151,69.57688134535948
10152,81.63352571708155
10153,58.63333284694673
10154,56.42348776005417
10155,70.42458524553348
10156,58.206431982294205
10157,55.09130530799293
10158,59.67457864758645
10159,59.77799172357337
10160,42.93749092265318
10161,71.55320438408869
10162,48.366962693687285
10163,55.78995019437865
10164,62.56895682776613
10165,83.19125625244739
10166,76.53956641297158
10167,65.27740021729228
10168,82.19284324325757
10169,54.819033829949824
10170,51.91061161979171
10171,50.64222931323758
10172,56.95451890692155
10173,65.844245099481
10174,63.404164322437026
10175,64.58089505895826
10176,65.44866277016372
10177,52.41171466508526
10178,56.910951436232956
10179,56.575139233950175
10180,76.53034724123155
10181,64.5910562861822
10182,65.91050466668894
10183,56.42348776005417
10184,86.10721054916722
10185,61.6292897461884
10186,56.293911423511894
10187,90.60649407345491
10188,54.87982954075524
10189,61.59509062612264
10190,85.0247776490766
10191,47.29777639520471
10192,71.76981050431813
10193,86.65609443677532
10194,78.79314134579947
10195,62.67447115049528
10196,56.86803567743581
10197,54.465690301639796
10198,40.07471985413265
10199,52.934324776389005
10200,50.64222931323758
10201,51.83209407742285
10202,60.481808351209565
10203,72.97677662967848
10204,70.41282726398927
10205,61.10406430748159
10206,44.05719755104797
10207,71.19668161637854
10208,82.2122289674311
10209,53.007340968349155
10210,92.83189089885173
10211,77.97100911185719
10212,72.12894369172017
10213,79.63418675134604
10214,69.46036759036276
10215,56.93345574295667
10216,70.69380857940575
10217,61.49511096845572
10218,57.39334011140286
10219,61.23565514933731
10220,48.14315024436088
10221,63.937809221581425
10222,61.440081697525855
10223,64.34750803235272
10224,89.182809859461
10225,59.150876861579036
10226,54.76549797918616
10227,55.35703511741849
10228,60.92503172730454
10229,54.70111631587337
10230,76.54668005299004
10231,76.09520970409567
10232,63.65313301923771
10233,56.520786318603
10234,84.93155472743491
10235,58.76213163829575
10236,55.187711956109816
10237,66.08612185022577
10238,45.10556714679363
10239,86.16773576850896
10240,59.085917864168785
10241,84.43438713525491
10242,54.52776708746512
10243,54.168894096449094
10244,66.67990656945128
10245,71.55320438408869
10246,57.53743818347845
10247,90.10164867299848
10248,57.220818778109184
10249,74.69526686484294
10250,76.2589934173987
10251,59.70402135591797
10252,56.794469885577556
10253,80.14182238527482
10254,56.42243923184089
10255,54.57359901889395
10256,62.95032089460071
10257,70.3213513203048
10258,57.38613075104925
10259,58.14607457601661
10260,52.743991355220594
10261,83.92845988784356
10262,42.810529256263976
10263,77.21136800193239
10264,60.82380309212147
10265,54.75602227257677
10266,57.20077540650985
10267,82.17919977769583
10268,83.9781205487606
10269,75.9011957403565
10270,85.4673277493491
10271,58.2122463429563
10272,53.186065121783066
10273,71.64738914618079
10274,54.465690301639796
10275,49.93489195845344
10276,41.44797677031534
10277,74.94741795788022
10278,59.2710923195428
10279,59.31827757900595
10280,62.06545203343388
10281,79.1770482866379
10282,60.70613012137101
10283,82.06639181705894
10284,59.81470754441559
10285,58.856897695350774
10286,55.48224488070402
10287,62.93165894003424
10288,44.25851382370471
10289,68.72321570480071
10290,85.89865651996102
10291,54.024387576228726
10292,55.04820576386472
10293,54.09195345842211
10294,84.77078000576859
10295,54.09195345842211
10296,50.851335602631536
10297,59.2710923195428
10298,54.39819914332507
10299,52.885696461331406
10300,55.35703511741849
10301,67.57427935021211
10302,71.55712656557935
10303,57.3367636911782
10304,86.75571388959112
10305,69.60541730687889
10306,37.42859835420827
10307,78.9814982993992
10308,65.00395642222914
10309,53.202020178858305
10310,55.59397222686881
10311,55.378514106577335
10312,61.73586583934432
10313,88.91847408861068
10314,46.15312243532012
10315,83.62824823204805
